title,review,date,rating,sentiment,topic
appalling customer service,appalling customer service appalling customer serviceJust pull the plug instead of helping,2024-06-14 18:18:55+00:00,1.0,Negative,Customer Service
Always good and fast shipping,Always good and fast shipping Always good and fast shipping! Not sure why it has a bad reviews???,2024-06-14 21:26:32+00:00,5.0,Positive,Delivery
Danger ! They steal customers personal details !,"Danger ! They steal customers personal details ! Danger !!! Be carefull with this company. Matrix AI Machine. They collecting every customer personal documents like passport or driver license. I tried to order hot air fryier at amazon.de and they blocked my account after i paid for my order and they asked to send my personal doccuments like passport to confirm my account. Confirm for what ? Why they collecting people personal documents photos ? First time i see this in my life, i ordering a lot of goods online. They are not government agency to collect personal documents coppies.",2024-06-15 12:40:14+00:00,1.0,Negative,Customer Service
"Greedy, pay to watch adverts?","Greedy, pay to watch adverts? Pay a subscription for films and tv, now they are showing adverts.Adverts are fine for free viewing, and paying into subscription is fine with no adverts but greed has set in and they want both.",2024-06-15 14:24:39+00:00,1.0,Negative,Pricing
What once was great now is Pitiful,What once was great now is Pitiful Shipping lately has been horrific. Half the orders arrive later than they should. Upper management needs to all be replaced.,2024-06-15 14:37:04+00:00,1.0,Negative,Delivery
NEGATIVE STARSSSS,NEGATIVE STARSSSS If I could give negative stars I would. Nothing but problems. And people who want to do what they want to do it whenever they want to do it. Smh what has society come to?,2024-06-15 16:14:52+00:00,1.0,Negative,Customer Service
best company because its a online e.commerce platformâ€¦,best company because its a online e.commerce platformâ€¦ Its very best company because it provides all things which are used in our life from online its a e.commerce app,2024-06-15 18:01:57+00:00,1.0,Positive,Website/App
I have an awful firestick,"I have an awful firestick I have a firestick. It is the most useless, frustrating, Clichy, awful piece of Junk I have had the misfortune of buying. I've upgraded once already and still it freezes from time to time and often at the most important part of the program. I have to disconnect it for 30 seconds every time to reboot. Wont be buying it again.",2024-06-15 18:05:56+00:00,1.0,Negative,Product Quality
They did not come to deliver our items,"They did not come to deliver our items Waiting for order, they say they are 8 stops away then a few seconds after reading that they send a message stating they could not deliver as no one was in.. Problem there as Ring door bell proved no one came to deliver from Amazon and we also have a Ring camera pointing at the door and again no delivery person. We called Amazon customer services and they did not appear to care.. Poor",2024-06-15 19:32:21+00:00,1.0,Negative,Delivery
Amazon is a terrible site has lots ofâ€¦,Amazon is a terrible site has lots ofâ€¦ Amazon is a terrible site has lots of ripping of prices and has a lot off bad complaints.and all my bank cards Iâ€™ve registered they do not except any of them always saying reclined up date details when I donâ€™t need to do so when the money for items is in there.the firm or company has gone very much down hill.would not recommend others to use the online line store as they are bad,2024-06-15 20:59:08+00:00,1.0,Negative,Pricing
â€œSame Day Deliveryâ€ Scam,"â€œSame Day Deliveryâ€ Scam I ordered a gift via Amazon as it was the last place that had the specific item in stock. I am not the least bit impressed that it is now due to arrive on the 18th. Similarly, an item I ordered almost a week ago, supposedly next day delivery, is now arriving on July 22nd. Amazon has seriously declined in standards. Constant delays with packages yet you charge people an extortionate amount for the below subpar service that is Prime. I was sure to double-check before I ordered and made both purchases way ahead of time. You should do more than offer a measly automated apology - I was not even emailed about the delay. Incredibly pathetic.",2024-06-15 23:13:49+00:00,1.0,Negative,Delivery
Amazon sold a childâ€™s kindle and basedâ€¦,"Amazon sold a childâ€™s kindle and basedâ€¦ Amazon sold a childâ€™s kindle and based on their guarantee that they would replace it without questionable no matter what the damage I bought it - when it got water damage stopped it working I called - when I called they said they would not replace it they would give a refund - given it was bought when on offer it meant I would not be able to afford like for like. I was not happy the gentleman I spoke to lied and said he would issue a refund for the full amount required to buy a new one and he would do it right away and I wouldnâ€™t have to send the old one. When I was forced into accepting this and still not happy he immediately refunded the lesser amount which left me with no way to replace it- I had to source a new one elsewhere and ended up buying a rubbish tablet for my elder granddaughter which is sitting unopened. I have written 3 complaints and not had the courtesy of one reply and now to add insult to injury they have taken the refund back as they say I havenâ€™t returned the old one. I will never use them again the guarantee was not worth the paper it was written on there customer service does not exist - they have lied and stolen and I am left with a waste of money tablet I donâ€™t even want they are a waste of money, time and effort a disgrace",2024-06-15 23:31:44+00:00,1.0,Negative,Customer Service
I ordered several items on amazon.comâ€¦,"I ordered several items on amazon.comâ€¦ I ordered several items on amazon.com and chose the affirm payment plan. I did not receive an order.number from Amazon. I contacted affirm and was told my order was being processed, and when it was ready to ship i would receive a confirmation email.that never happened. On my affirm account it continues to.say its processing but my items were delivered today june 15 2024 with no notice.i live innan apt building andbit was by pure chance my boxwas noticed. And an item was.missing.i tried to contact customer support but thst was futile.the employees are incapable of understanding why i have no order.number.i gave them the numbers off the box and they still kept asking for the nonexistent order number.my account page is blank for recent orders also. Amazon is incompetent and hires incompetent employees.since my account page is blank does this mean i don't have to pay for the items?lol",2024-06-16 02:55:36+00:00,1.0,Negative,Delivery
Donâ€™t buy Alexa,"Donâ€™t buy Alexa No issues with Amazon as such but the latest Alexa is extremely disappointing. Initially it seem to work okay but it simply will not pair with my Bluetooth speakers and this means that it will be marooned in just one room in the house. Looking on the web, it looks as if there are many issues with pairing. Donâ€™t make the mistake of buying one of these.",2024-06-16 20:18:29+00:00,1.0,Negative,Product Quality
Happy with Amazon..,Happy with Amazon.. We've been shopping on Amazon for a long time. They're a good company. We've had a few customer service issues that have been handled.,2024-06-17 00:51:21+00:00,5.0,Positive,Customer Service
The absolute worst customer serviceâ€¦,The absolute worst customer serviceâ€¦ The absolute worst customer service experience,2024-06-17 01:06:43+00:00,1.0,Negative,Customer Service
VISA Gift Card Issue - Horrible Amazon CS,"VISA Gift Card Issue - Horrible Amazon CS I'm writing what I have tried to write twice, as a review for a product experience on Amazon. My review has been denied with an email from Amazon telling me that my review could not focus on seller, delivery, packaging, pricing, or availability. Wait, what? Isn't it one of these items that we are typically reviewing when we provide a review?I ordered 2 $100 VISA cards, requested next day delivery. Included in the same order were three other items. I was excited when I received a delivery notice for the next day AM. At my doorstep was a typical sealed box and a sealed envelope. The three items were in the box. The sealed enveloped, when opened, contained nothing. Most importantly, it did not contain the two cards. I immediately called Amazon customer service (now clearly offshored - if you've experienced Amazon customer service you will understand) and was told that because it was within 24 hours of the order, I would have to call back the next day. I requested an email, which I received. I called back the next day after spending over 2 hours on the phone, I was finally escalated to a Manager. I was told that cards had already been used, that my situation would be escalated to ""card services"" and I would get a call back within 24-48 hours. I requested an email, which I received. Otherwise, crickets, I never received a call from Amazon ""card services.""I then called the distributor of the card (Sunrise Banks), who advised me that no only had the cards been registered to someone NOT in my name, also that they had been used for an online purchase. They took down my information, sent me an email, asked for proof of purchase of the cards, which I sent to them. And, in that same email advised me that I would hear back from them within 24 hours. Again, crickets. I decided my only course of action was to file a dispute with the credit card company I used for this purchase. They have reached out to Amazon, and in reply I received a completely nonsensical, I kid you not, email from Amazon telling me that I should have called their customer service. The email went on to ask me for a credit card number against which they can charge the costs of my original purchase. It made zero sense.Where in the world did customer service go for Amazon? Horrible, horrible, horrible customer service. I've been an Amazon Prime member for over a decade, longer. This is the first situation I've run into like this with Amazon. I remain out $211.90 for these cards with no resolution in sight. I DO NOT recommend using Amazon for any gift card purchases of any kind. Now the bigger decision, do I leave Amazon as a Prime member after over a decade of membership?",2024-06-17 05:15:49+00:00,1.0,Negative,Customer Service
Awful awful company,"Awful awful company Awful awful company, have a see Amazon for years and needed a new bed ordered but not arrived, told me I would get a refund and then they blocked my account and every time I use the web chat they tell me that Iâ€™ve yet again been refunded and I havenâ€™t l! I have screen shots of these conversations and still nothing is done so no bed and no refund of nearly Â£400!",2024-06-17 14:03:35+00:00,1.0,Negative,Delivery
Hands down THE best customer serviceâ€¦,"Hands down THE best customer serviceâ€¦ Hands down THE best customer service I've experienced online. I'm in Denmark and have been buying goods from the German Amazon for about a decade now.I've just been given my latest refund, which was for an awful Logitech MX Keys keyboard which luckily had one of its keys fall off after about 18 months, meaning I was still under warranty. I hoped to then be able to sell the brand-new replacement for a decent amount and buy a better keyboard, but Amazon just offered a full refund, which I happily accepted.I've had returns on close to ten orders, some of which have been swiftly closed with ""refund issued, no need to return the item,"" the others returned with a prepaid parcel slip that just needs to be printed and stuck on the box, and once they've received the item back, a refund has been issued.Once I bought twelve bottles of baby oil (enough to get free shipping), and it was delivered damaged with three bottles having escaped through a hole. I called the local carrier and was put in queue as number 90-something. While waiting I checked the Amazon website and discovered the option to have Amazon call you up. I activated it and was immediately called on my phone by an employee who promptly refunded me money for the three missing bottles, no questions asked. The local carrier called me back two hours later.This last refund was set in motion by the friendliest German supporter who laughed with me at my broken German and did his best to follow my better English.If there's one negative, it's that the search function on their own website is basically useless, so I have to use Google with ""site:amazon.de"" added to the query instead.I see many negative reviews based on having been fooled by refund scammers, fake websites, or forgetting your password and blaming Amazon, hating on Bezos (which I agree with), or some other random own-fault issue.I've spent at least 10k â‚¬ over a decade and NEVER had a bad experience with them.People, if someone randomly calls you up and say they're from Amazon (or any other business), hang up the phone and block that number.",2024-06-17 14:10:36+00:00,5.0,Positive,Customer Service
Braking EU consumer law and getting away with it,"Braking EU consumer law and getting away with it 026-3373215-4636309I purchased a phone from you four months ago, and it has since broken. Since you do not have a contact form and have refused to accept my return, and also manufacturer for repair, I am writing to inform you that I am filing a claim through the European Consumer Centre Ireland. Please contact me as soon as possible. have bought a phone 4 months ago, that broked. Since you don't have a contact form and you refused to accept my return item for repair. I am writing here, as im placing a claim through European consumer centre Ireland. Please get in contact asap.",2024-06-17 18:13:16+00:00,1.0,Negative,Product Quality
delivery serevice is unreliable,delivery serevice is unreliable the package was left on my doorstep without the doorbell being rung. it was only an email confirming delivery that alertedme to it beingthere. it could easily have been stolen and i would have been none the wiser. theemail amazon send confirming deliverygives option to confirm orotherwise satisfactory deliverybut clicking on either option does not lead to a placxce to leave a review and they do not welcome customer service emails- iprefer to purchse from a seller who uses an independent courier or royal mail,2024-06-17 19:42:54+00:00,1.0,Negative,Delivery
